#x_m        ; y_m         ; vx_mps      ; psi_rad     ; kappa_radpm
-14.1397476 ; -4.6419238  ; 8.0000000   ; 3.4055992   ; 0.0001067
-14.3327780 ; -4.6941053  ; 8.0000000   ; 3.4056201   ; 0.0001020
-14.5258074 ; -4.7462907  ; 8.0000000   ; 3.4056400   ; 0.0000973
-14.7188358 ; -4.7984799  ; 8.0000000   ; 3.4056590   ; 0.0000924
-14.9118633 ; -4.8506726  ; 8.0000000   ; 3.4056770   ; 0.0000875
-15.1048898 ; -4.9028687  ; 8.0000000   ; 3.4056940   ; 0.0000825
-15.2979154 ; -4.9550679  ; 8.0000000   ; 3.4057100   ; 0.0000774
-15.4909403 ; -5.0072702  ; 8.0000000   ; 3.4057249   ; 0.0000722
-15.6839644 ; -5.0594753  ; 8.0000000   ; 3.4057388   ; 0.0000669
-15.8769878 ; -5.1116829  ; 8.0000000   ; 3.4057517   ; 0.0000616
-16.0700105 ; -5.1638929  ; 8.0000000   ; 3.4057635   ; 0.0000562
-16.2630327 ; -5.2161051  ; 8.0000000   ; 3.4057741   ; 0.0000506
-16.4560543 ; -5.2683192  ; 8.0000000   ; 3.4057837   ; 0.0000451
-16.6490755 ; -5.3205351  ; 8.0000000   ; 3.4057922   ; 0.0000394
-16.8420962 ; -5.3727525  ; 8.0000000   ; 3.4057995   ; 0.0000337
-17.0351166 ; -5.4249712  ; 8.0000000   ; 3.4058056   ; 0.0000279
-17.2281368 ; -5.4771909  ; 8.0000000   ; 3.4058106   ; 0.0000221
-17.4211566 ; -5.5294116  ; 8.0000000   ; 3.4058145   ; 0.0000162
-17.6141764 ; -5.5816328  ; 8.0000000   ; 3.4058171   ; 0.0000102
-17.8071959 ; -5.6338544  ; 8.0000000   ; 3.4058185   ; 0.0000041
-18.0002155 ; -5.6860762  ; 8.0000000   ; 3.4058187   ; -0.0000020
-18.1932351 ; -5.7382980  ; 8.0000000   ; 3.4058177   ; -0.0000081
-18.3862547 ; -5.7905194  ; 8.0000000   ; 3.4058155   ; -0.0000143
-18.5792746 ; -5.8427402  ; 8.0000000   ; 3.4058120   ; -0.0000206
-18.7722946 ; -5.8949603  ; 8.0000000   ; 3.4058073   ; -0.0000269
-18.9653149 ; -5.9471793  ; 8.0000000   ; 3.4058013   ; -0.0000333
-19.1583356 ; -5.9993970  ; 8.0000000   ; 3.4057940   ; -0.0000397
-19.3513566 ; -6.0516132  ; 8.0000000   ; 3.4057854   ; -0.0000462
-19.5443782 ; -6.1038277  ; 8.0000000   ; 3.4057755   ; -0.0000526
-19.7374003 ; -6.1560401  ; 8.0000000   ; 3.4057643   ; -0.0000590
-19.9304230 ; -6.2082502  ; 8.0000000   ; 3.4057519   ; -0.0000657
-20.1234465 ; -6.2604578  ; 8.0000000   ; 3.4057381   ; -0.0000725
-20.3164706 ; -6.3126625  ; 8.0000000   ; 3.4057229   ; -0.0000793
-20.5094956 ; -6.3648643  ; 8.0000000   ; 3.4057063   ; -0.0000860
-20.7025215 ; -6.4170627  ; 8.0000000   ; 3.4056885   ; -0.0000927
-20.8955483 ; -6.4692575  ; 8.0000000   ; 3.4056693   ; -0.0000990
-21.0885762 ; -6.5214485  ; 8.0000000   ; 3.4056489   ; -0.0001051
-21.2816052 ; -6.5736354  ; 8.0000000   ; 3.4056273   ; -0.0001108
-21.4746353 ; -6.6258181  ; 8.0000000   ; 3.4056048   ; -0.0001138
-21.6676667 ; -6.6779964  ; 8.0000000   ; 3.4055818   ; -0.0001167
-21.8606992 ; -6.7301702  ; 8.0000000   ; 3.4055582   ; -0.0001180
-22.0537330 ; -6.7823394  ; 8.0000000   ; 3.4055346   ; -0.0001181
-22.2467680 ; -6.8345041  ; 8.0000000   ; 3.4055110   ; -0.0001180
-22.4398042 ; -6.8866642  ; 8.0000000   ; 3.4054876   ; -0.0001155
-22.6328417 ; -6.9388199  ; 8.0000000   ; 3.4054648   ; -0.0001131
-22.8258803 ; -6.9909712  ; 8.0000000   ; 3.4054425   ; -0.0001091
-23.0189200 ; -7.0431183  ; 8.0000000   ; 3.4054212   ; -0.0001041
-23.2119609 ; -7.0952614  ; 8.0000000   ; 3.4054009   ; -0.0000989
-23.4050027 ; -7.1474007  ; 8.0000000   ; 3.4053818   ; -0.0000915
-23.5980455 ; -7.1995364  ; 8.0000000   ; 3.4053643   ; -0.0000842
-23.7910892 ; -7.2516689  ; 8.0000000   ; 3.4053483   ; -0.0000754
-23.9841337 ; -7.3037985  ; 8.0000000   ; 3.4053342   ; -0.0000656
-24.1771789 ; -7.3559256  ; 8.0000000   ; 3.4053220   ; -0.0000552
-24.3702246 ; -7.4080505  ; 8.0000000   ; 3.4053126   ; -0.0000389
-24.5632708 ; -7.4601740  ; 8.0000000   ; 3.4053065   ; -0.0000226
-24.7563171 ; -7.5122966  ; 8.0000000   ; 3.4053042   ; 0.0000032
-24.9493634 ; -7.5644193  ; 8.0000000   ; 3.4053080   ; 0.0000352
-25.1424095 ; -7.6165435  ; 8.0000000   ; 3.4053179   ; 0.0000305
