#x_m        ; y_m         ; vx_mps      ; psi_rad
-18.0002155 ; -5.6860762  ; 8.0000000   ; 3.4058187
-18.1932351 ; -5.7382980  ; 8.0000000   ; 3.4058177
-18.3862547 ; -5.7905194  ; 8.0000000   ; 3.4058155
-18.5792746 ; -5.8427402  ; 8.0000000   ; 3.4058120
-18.7722946 ; -5.8949603  ; 8.0000000   ; 3.4058073
-18.9653149 ; -5.9471793  ; 8.0000000   ; 3.4058013
-19.1583356 ; -5.9993970  ; 8.0000000   ; 3.4057940
-19.3513566 ; -6.0516132  ; 8.0000000   ; 3.4057854
-19.5443782 ; -6.1038277  ; 8.0000000   ; 3.4057755
-19.7374003 ; -6.1560401  ; 8.0000000   ; 3.4057643
-19.9304230 ; -6.2082502  ; 8.0000000   ; 3.4057519
-20.1234465 ; -6.2604578  ; 8.0000000   ; 3.4057381
-20.3164706 ; -6.3126625  ; 8.0000000   ; 3.4057229
-20.5094956 ; -6.3648643  ; 8.0000000   ; 3.4057063
-20.7025215 ; -6.4170627  ; 8.0000000   ; 3.4056885
-20.8955483 ; -6.4692575  ; 8.0000000   ; 3.4056693
-21.0885762 ; -6.5214485  ; 8.0000000   ; 3.4056489
-21.2816052 ; -6.5736354  ; 8.0000000   ; 3.4056273
-21.4746353 ; -6.6258181  ; 8.0000000   ; 3.4056048
-21.6676667 ; -6.6779964  ; 8.0000000   ; 3.4055818
-21.8606992 ; -6.7301702  ; 8.0000000   ; 3.4055582
-22.0537330 ; -6.7823394  ; 8.0000000   ; 3.4055346
-22.2467680 ; -6.8345041  ; 8.0000000   ; 3.4055110
-22.4398042 ; -6.8866642  ; 8.0000000   ; 3.4054876
-22.6328417 ; -6.9388199  ; 8.0000000   ; 3.4054648
-22.8258803 ; -6.9909712  ; 8.0000000   ; 3.4054425
-23.0189200 ; -7.0431183  ; 8.0000000   ; 3.4054212
-23.2119609 ; -7.0952614  ; 8.0000000   ; 3.4054009
-23.4050027 ; -7.1474007  ; 8.0000000   ; 3.4053818
-23.5980455 ; -7.1995364  ; 8.0000000   ; 3.4053643
-23.7910892 ; -7.2516689  ; 8.0000000   ; 3.4053483
-23.9841337 ; -7.3037985  ; 8.0000000   ; 3.4053342
-24.1771789 ; -7.3559256  ; 8.0000000   ; 3.4053220
-24.3702246 ; -7.4080505  ; 8.0000000   ; 3.4053126
-24.5632708 ; -7.4601740  ; 8.0000000   ; 3.4053065
-24.7563171 ; -7.5122966  ; 8.0000000   ; 3.4053042
-24.9493634 ; -7.5644193  ; 8.0000000   ; 3.4053080
-25.1424095 ; -7.6165435  ; 8.0000000   ; 3.4053179
-25.3354557 ; -7.6686671  ; 8.0000000   ; 3.4052921
-25.5285048 ; -7.7207797  ; 8.0000000   ; 3.4052028
-25.7215579 ; -7.7728659  ; 8.0000000   ; 3.4049954
-25.9146310 ; -7.8248816  ; 8.0000000   ; 3.4044521
-26.1077465 ; -7.8767590  ; 8.0000000   ; 3.4035492
